Age,Income,SpendingScore,PurchaseFrequency,WebsiteVisits,CustomerSatisfaction,Churn,Membership
23,32000,72,14,28,4.5,No,Standard
31,54000,61,10,19,4.1,No,Premium
45,78000,38,5,8,3.2,Yes,Premium
28,41000,84,18,34,4.8,No,Standard
52,92000,29,3,6,2.8,Yes,Premium
36,67000,66,12,23,4.3,No,Premium
41,73000,48,7,14,3.7,No,Standard
19,25000,91,21,41,4.9,No,Standard
63,105000,22,2,4,2.4,Yes,Premium
34,58000,75,15,29,4.6,No,Standard
47,81000,42,6,11,3.5,Yes,Premium
26,39000,88,20,37,4.7,No,Standard
39,69000,57,9,18,4.0,No,Premium
55,88000,31,4,7,2.9,Yes,Premium
30,46000,79,16,31,4.4,No,Standard
22,28000,68,13,25,4.0,No,Standard
49,96000,35,4,9,3.0,Yes,Premium
37,62000,63,11,21,4.2,No,Premium
44,76000,51,8,15,3.8,No,Standard
29,43000,86,19,36,4.8,No,Standard
58,99000,25,2,5,2.6,Yes,Premium
33,51000,71,13,26,4.5,No,Standard
40,71000,54,9,17,3.9,No,Premium
24,35000,82,17,33,4.6,No,Standard
61,102000,27,3,5,2.5,Yes,Premium
35,60000,69,12,24,4.2,No,Premium
46,84000,44,6,12,3.4,Yes,Standard
27,37000,90,22,43,4.9,No,Standard
51,87000,34,4,8,3.1,Yes,Premium
38,65000,59,10,20,4.0,No,Premium
32,49000,77,15,30,4.5,No,Standard
57,94000,30,3,6,2.7,Yes,Premium
43,75000,47,7,13,3.6,No,Standard
21,27000,93,23,45,5.0,No,Standard
48,85000,40,5,10,3.3,Yes,Premium
25,36000,80,18,35,4.7,No,Standard
54,90000,28,3,5,2.6,Yes,Premium
42,70000,56,9,16,3.9,No,Premium
18,22000,95,24,48,5.0,No,Standard
60,101000,24,2,4,2.3,Yes,Premium
